Date,C2 (wt%)
2025-01-01,26.300001
2025-01-02,26.300001
2025-01-03,26.300001
2025-01-04,26.300001
2025-01-05,26.300001
2025-01-06,26.300001
2025-01-07,26.300001
2025-01-08,26.300001
2025-01-09,26.300001
2025-01-10,26.300001
2025-01-11,26.300001
2025-01-12,26.300001
2025-01-13,26.300001
2025-01-14,26.300001
2025-01-15,26.300001
2025-01-16,26.300001
2025-01-17,26.300001
2025-01-18,26.300001
2025-01-19,26.300001
2025-01-20,26.300001
2025-01-21,26.300001
2025-01-22,26.300001
2025-01-23,26.300001
2025-01-24,26.300001
2025-01-25,26.300001
2025-01-26,26.300001
2025-01-27,26.300001
2025-01-28,26.300001
2025-01-29,26.300001
2025-01-30,26.300001
2025-01-31,26.300001
