Date,Evaporation,Volume,V2,SurfaceArea,EvapVol,Initial_Conc,C2 (mg/l)
2025-08-01,8.277748,478725248.4,478725248.32550025,9,0.07449973200000001,175.0,175.00000002723368
2025-08-02,8.060364,478725248.4,478725248.3274567,9,0.07254327599999999,175.00000002723368,175.00000005375216
2025-08-03,7.9807916,478725248.4,478725248.32817286,9,0.0718271244,175.00000005375216,175.00000008000887
2025-08-04,7.9251804,478725248.4,478725248.32867336,9,0.0713266236,175.00000008000887,175.0000001060826
2025-08-05,7.867058,478725248.4,478725248.32919645,9,0.07080352200000001,175.0000001060826,175.00000013196515
2025-08-06,7.8117976,478725248.4,478725248.3296938,9,0.0703061784,175.00000013196515,175.00000015766588
2025-08-07,7.7653437,478725248.4,478725248.33011186,9,0.0698880933,175.00000015766588,175.00000018321379
2025-08-08,7.802309,478725248.4,478725248.3297792,9,0.070220781,175.00000018321379,175.00000020888328
2025-08-09,7.8305883,478725248.4,478725248.3295247,9,0.0704752947,175.00000020888328,175.00000023464582
2025-08-10,7.8323307,478725248.4,478725248.329509,9,0.0704909763,175.00000023464582,175.00000026041408
2025-08-11,7.8334193,478725248.4,478725248.3294992,9,0.07050077369999999,175.00000026041408,175.00000028618595
2025-08-12,7.778273,478725248.4,478725248.3299955,9,0.070004457,175.00000028618595,175.00000031177638
2025-08-13,7.8241043,478725248.4,478725248.32958305,9,0.0704169387,175.00000031177638,175.00000033751758
2025-08-14,7.852366,478725248.4,478725248.32932866,9,0.07067129400000001,175.00000033751758,175.00000036335177
2025-08-15,7.8200865,478725248.4,478725248.32961917,9,0.0703807785,175.00000036335177,175.00000038907976
2025-08-16,7.766405,478725248.4,478725248.3301023,9,0.069897645,175.00000038907976,175.00000041463113
2025-08-17,7.740336,478725248.4,478725248.3303369,9,0.069663024,175.00000041463113,175.00000044009676
2025-08-18,7.7792196,478725248.4,478725248.329987,9,0.0700129764,175.00000044009676,175.0000004656903
2025-08-19,7.797072,478725248.4,478725248.32982635,9,0.070173648,175.0000004656903,175.00000049134255
2025-08-20,7.8117113,478725248.4,478725248.32969457,9,0.0703054017,175.00000049134255,175.000000517043
2025-08-21,7.8174458,478725248.4,478725248.32964295,9,0.0703570122,175.000000517043,175.00000054276228
2025-08-22,7.7617207,478725248.4,478725248.33014446,9,0.06985548629999999,175.00000054276228,175.00000056829825
2025-08-23,7.7801986,478725248.4,478725248.32997817,9,0.07002178740000001,175.00000056829825,175.000000593895
2025-08-24,7.796725,478725248.4,478725248.32982945,9,0.070170525,175.000000593895,175.00000061954614
2025-08-25,7.7853656,478725248.4,478725248.3299317,9,0.07006829040000001,175.00000061954614,175.0000006451599
2025-08-26,7.7320633,478725248.4,478725248.33041143,9,0.06958856969999999,175.0000006451599,175.00000067059827
2025-08-27,7.6617327,478725248.4,478725248.3310444,9,0.0689555943,175.00000067059827,175.00000069580528
2025-08-28,7.5540066,478725248.4,478725248.3320139,9,0.0679860594,175.00000069580528,175.00000072065785
2025-08-29,7.523347,478725248.4,478725248.3322899,9,0.067710123,175.00000072065785,175.00000074540955
2025-08-30,7.521852,478725248.4,478725248.3323033,9,0.067696668,175.00000074540955,175.00000077015636
2025-08-31,7.4828267,478725248.4,478725248.33265454,9,0.0673454403,175.00000077015636,175.0000007947748
2025-09-01,7.6499553,478725248.4,478725248.33115035,9,0.0688495977,175.0000007947748,175.00000081994307
2025-09-02,7.5961423,478725248.4,478725248.3316347,9,0.0683652807,175.00000081994307,175.00000084493428
2025-09-03,7.633703,478725248.4,478725248.3312966,9,0.06870332700000001,175.00000084493428,175.00000087004906
2025-09-04,7.6249166,478725248.4,478725248.3313757,9,0.06862424939999999,175.00000087004906,175.00000089513495
2025-09-05,7.5941024,478725248.4,478725248.33165306,9,0.0683469216,175.00000089513495,175.00000092011945
2025-09-06,7.51739,478725248.4,478725248.33234346,9,0.06765651,175.00000092011945,175.00000094485156
2025-09-07,7.428354,478725248.4,478725248.3331448,9,0.066855186,175.00000094485156,175.00000096929077
2025-09-08,7.4157386,478725248.4,478725248.33325833,9,0.0667416474,175.00000096929077,175.00000099368845
2025-09-09,7.410469,478725248.4,478725248.3333058,9,0.066694221,175.00000099368845,175.00000101806882
2025-09-10,7.3835177,478725248.4,478725248.3335483,9,0.06645165930000001,175.00000101806882,175.0000010423605
2025-09-11,7.3541675,478725248.4,478725248.3338125,9,0.06618750749999999,175.0000010423605,175.00000106655563
2025-09-12,7.2408824,478725248.4,478725248.334832,9,0.0651679416,175.00000106655563,175.00000109037802
